,authorID,projectContributions,methodsWritten,noOfClones,relativeClones,methodsWrittenCat,projectContributionsCat,developerExperienceNum,developerExperience
9336,32957328-9ad3-d706-b282-6cacab0055bd,3,45,7,0.1555555555555555,3,1,2.0,Medium
9341,32a05322-806e-3c11-28f8-78113bfc7ea8,4,43,0,0.0,3,2,2.5,Medium
9346,32a8ff78-8107-0145-36f5-f90ca00dcff4,3,15,8,0.5333333333333333,2,1,1.5,Low
9347,32a9adb6-6481-fe08-7c2a-b3e210cb1915,3,93,3,0.032258064516129,4,1,2.5,Medium
9350,32abd931-156e-6da7-32f1-28b999379703,2,7,3,0.4285714285714285,2,1,1.5,Low
9358,32b5627c-6bd2-81e9-2030-b5f816a67b39,2,16,8,0.5,2,1,1.5,Low
9362,32b888d4-18d3-e9fe-fe46-e652fa6178c4,3,28,0,0.0,2,1,1.5,Low
9375,32d4a5bb-9828-7d10-2800-8853c6766595,2,21,0,0.0,2,1,1.5,Low
9380,32d8824d-4c4a-2938-6a8f-cd3710334b99,3,5,3,0.6,1,1,1.0,Low
9389,32ec3bab-d84d-28b6-5103-f27321822916,5,37,0,0.0,3,2,2.5,Medium
9414,3316daf9-18c6-beef-c99f-0756e60a3629,7,147,65,0.4421768707482993,4,3,3.5,High
9419,3319a8f3-16cc-4114-d54f-83a064621c4d,2,42,16,0.3809523809523809,3,1,2.0,Medium
9421,331f0660-a195-2fd1-0dc6-e64afcc31c78,2,23,0,0.0,2,1,1.5,Low
9423,33213606-46d7-f738-7dc6-9d99838bbdb6,2,8,0,0.0,2,1,1.5,Low
9427,332362cd-d1e7-a699-98e0-d660b91f6c88,2,24,12,0.5,2,1,1.5,Low
9434,332af748-c4a5-0f1e-6965-1b71f8b66058,2,34,0,0.0,3,1,2.0,Medium
9435,332c3cb1-b257-dbcc-eaf7-2cc35669e9b8,2,104,40,0.3846153846153846,4,1,2.5,Medium
9437,332e6916-457d-d456-6be1-62e6c3eb6106,4,113,0,0.0,4,2,3.0,High
9439,3334285a-cf82-74a8-6339-d9083b1c03d0,2,10,3,0.3,2,1,1.5,Low
9444,3338628a-f3fc-b8f7-b045-86e12f277a6e,2,58,24,0.4137931034482758,4,1,2.5,Medium
9445,333a4bfd-49d7-e26f-f191-0c7ee7e18bca,2,61,0,0.0,4,1,2.5,Medium
9451,333e2262-51dd-fa43-6c2c-5b7e82fac345,8,13,4,0.3076923076923077,2,4,3.0,High
9452,333e9ca7-a719-f22b-cf84-d7cdf40ae1b4,3,15,5,0.3333333333333333,2,1,1.5,Low
9453,333f65f0-11b4-71ba-cbc8-b7c301847fa2,6,35,10,0.2857142857142857,3,3,3.0,High
9458,3346cc35-fd3d-cd90-be5d-fbce6abb2399,4,131,2,0.015267175572519,4,2,3.0,High
9466,3353dce9-a244-1149-4c2d-442edbfb2a39,3,40,1,0.025,3,1,2.0,Medium
9472,3358d89c-6b2f-8a1c-3605-d7f4972c5621,2,11,0,0.0,2,1,1.5,Low
9487,33678432-2dc0-30f7-8846-a96032d73fa4,3,10,3,0.3,2,1,1.5,Low
9495,3373ba3e-5fef-5a60-42cf-a333947fe4a7,3,9,1,0.1111111111111111,2,1,1.5,Low
9503,337c6146-e2b3-0ac6-137e-10a2d9d4e59c,2,27,20,0.7407407407407407,2,1,1.5,Low
9505,337e1cfc-8552-564a-7bf5-3d0c6b7a01fb,2,15,0,0.0,2,1,1.5,Low
9509,33818f78-948f-3751-180a-4eab10d0b209,3,5,0,0.0,1,1,1.0,Low
9511,3382bb01-a87e-8a49-fab3-65106bf4cdb2,3,16,0,0.0,2,1,1.5,Low
9517,3385bf46-0aa9-6914-1af0-f248c01554f6,3,34,0,0.0,3,1,2.0,Medium
9519,338a0617-7227-d36c-6ea6-54089486c300,5,14,9,0.6428571428571429,2,2,2.0,Medium
9522,338c4bc1-99da-0d51-d622-1ad1b1cf4d4a,2,13,0,0.0,2,1,1.5,Low
9526,33908256-c7f2-3b2c-f72c-3fdc26eca008,2,10,1,0.1,2,1,1.5,Low
9527,33930a43-565d-ec85-429c-391c2148ff91,6,18,5,0.2777777777777778,2,3,2.5,Medium
9529,3394b2f3-2938-353e-cb3d-feef3f65101d,3,28,10,0.3571428571428571,2,1,1.5,Low
9533,33997bb0-0b43-8989-8b66-8f1222e4c090,2,79,1,0.0126582278481012,4,1,2.5,Medium
9537,339f904b-78df-cf9e-e4a7-a3fbcb87db1b,3,105,39,0.3714285714285714,4,1,2.5,Medium
9564,33ceb463-0592-11fb-858c-6b1a97815682,2,125,38,0.304,4,1,2.5,Medium
9571,33d62388-26be-afbe-d543-3c372c78f781,2,7,5,0.7142857142857143,2,1,1.5,Low
9576,33dabcb5-067d-4750-6bcc-6e8fa4d5ee91,3,26,0,0.0,2,1,1.5,Low
9578,33db4d7e-e0db-3532-f790-69e4610a1022,3,6,2,0.3333333333333333,2,1,1.5,Low
9588,33e1f501-2d53-d3e8-f918-cc372f5bedd1,2,19,5,0.2631578947368421,2,1,1.5,Low
9589,33e3e682-df7b-0b99-9db9-7f30f0c02587,2,20,3,0.15,2,1,1.5,Low
9590,33e48f4b-143b-c1ed-bf12-ed2285a3172d,2,11,0,0.0,2,1,1.5,Low
9593,33eb5595-9e11-93a2-b8a0-b5870a735d01,3,34,0,0.0,3,1,2.0,Medium
9594,33eb63bb-181e-d40f-8f3b-1dc50869b643,3,20,3,0.15,2,1,1.5,Low
9599,33f7054b-342f-9fc0-6bf4-c3787ec9a647,2,8,3,0.375,2,1,1.5,Low
9604,33f9c7c9-2731-c256-1193-ea79738367e5,2,41,4,0.0975609756097561,3,1,2.0,Medium
9610,340629a9-5caf-41f4-de75-27865513c580,3,21,0,0.0,2,1,1.5,Low
9619,34153d11-ec0d-1787-d9fa-d475b45b01d9,2,21,0,0.0,2,1,1.5,Low
9622,34178fa5-6325-0de8-fc3c-18a34abc4dd7,3,112,1,0.0089285714285714,4,1,2.5,Medium
9623,34198e97-47ef-14e6-5aaf-afa0750d7700,2,14,7,0.5,2,1,1.5,Low
9626,341aa9fe-5252-0efa-665b-64a5c0f9c0a3,6,55,5,0.0909090909090909,4,3,3.5,High
9627,341aabe4-06aa-b9a0-7cae-b6cafef5f6c6,2,44,5,0.1136363636363636,3,1,2.0,Medium
9629,341d9387-4816-86f6-a848-57f39afe487d,2,7,0,0.0,2,1,1.5,Low
9640,342f7590-7f05-fff9-b83d-57f7b26fc106,3,5,1,0.2,1,1,1.0,Low
9647,3436e503-d576-30cd-09be-bf1ca775a6d8,2,14,0,0.0,2,1,1.5,Low
9649,34378a8a-903e-396c-639b-292969890bc1,2,7,5,0.7142857142857143,2,1,1.5,Low
9653,343b1399-d6a8-88d7-f10a-6fb0e23fa7a4,7,7,5,0.7142857142857143,2,3,2.5,Medium
9658,344299b2-e11e-8ba9-7e13-5866c5465dfa,4,81,57,0.7037037037037037,4,2,3.0,High
9662,3449ac85-646b-0969-efed-574ff7e8a040,3,39,17,0.4358974358974359,3,1,2.0,Medium
9666,344e2e00-64ac-e8ec-3d19-f5dfb9e130c3,2,79,19,0.240506329113924,4,1,2.5,Medium
9667,344f5397-e31f-148a-477c-38839dfa51d1,2,22,0,0.0,2,1,1.5,Low
9668,34500d77-3f95-0add-88fd-fc87550bfba7,2,48,14,0.2916666666666667,3,1,2.0,Medium
9672,345b3966-81eb-87c5-c2b8-11a2999c383e,2,18,0,0.0,2,1,1.5,Low
9680,34639ffb-19a0-e2e2-3c25-b13af78a3518,3,37,13,0.3513513513513513,3,1,2.0,Medium
9686,3468c5e5-a29b-ef16-25e7-672a6381d3c3,2,30,13,0.4333333333333333,2,1,1.5,Low
9688,346d09cb-54c0-9612-d2ce-b72ddbee5e6d,2,9,1,0.1111111111111111,2,1,1.5,Low
9691,346e8a44-4708-a46f-ee07-200ab7d8aabd,2,6,3,0.5,2,1,1.5,Low
9711,34857d90-f371-4326-edf3-365b6833dc2d,2,5,1,0.2,1,1,1.0,Low
9725,3497851f-6eeb-dfcc-27ad-087cb56b4e8d,2,8,4,0.5,2,1,1.5,Low
9734,34a47db3-eaf9-be87-65e9-edcb2e28b1e8,3,12,7,0.5833333333333334,2,1,1.5,Low
9738,34ac4cad-b37a-570c-5f1c-bbddfb188484,3,35,16,0.4571428571428571,3,1,2.0,Medium
9741,34ae089b-39e9-0170-429f-aed6f4cf7b78,2,49,0,0.0,3,1,2.0,Medium
9745,34b44568-8058-193c-28cb-f90acb002257,2,38,0,0.0,3,1,2.0,Medium
9747,34b62622-0b65-f824-029c-89a3f439ce0f,4,48,19,0.3958333333333333,3,2,2.5,Medium
9749,34ba2bd9-ad26-b8ac-fdd5-e8f2310dc8c0,2,8,3,0.375,2,1,1.5,Low
9754,34c69721-b8ca-6b0b-b4ad-6327b3e0993f,3,74,22,0.2972972972972973,4,1,2.5,Medium
9755,34c7a483-8a5e-2dcb-8398-3973a617dc51,3,23,13,0.5652173913043478,2,1,1.5,Low
9757,34ce9fba-3e67-d4a6-0bd7-2676bc3522da,7,112,106,0.9464285714285714,4,3,3.5,High
9760,34d6145b-55eb-9ce6-7d35-796834ee37cf,3,19,3,0.1578947368421052,2,1,1.5,Low
9766,34ddba55-da97-961f-5ff0-3192d238b6f8,3,64,0,0.0,4,1,2.5,Medium
9767,34e1bba3-8228-bba2-0039-d1bb75f6001a,2,164,46,0.2804878048780488,4,1,2.5,Medium
9773,34ee08e5-6de0-abc1-d153-152a05df8d46,2,9,0,0.0,2,1,1.5,Low
9774,34f08148-e79a-30f0-e446-c1785f4c6b6e,2,11,0,0.0,2,1,1.5,Low
9776,34f72897-deca-8426-e3fb-efcdfc7077e1,8,65,22,0.3384615384615385,4,4,4.0,High
9791,35106a65-e0d9-381d-8c4f-62a71dee2dc9,2,68,1,0.0147058823529411,4,1,2.5,Medium
9792,3512765c-3d84-fb42-1288-d8fd09acca0c,6,126,20,0.1587301587301587,4,3,3.5,High
9797,3514e74a-cf3d-d80d-7540-e75372800c13,2,6,2,0.3333333333333333,2,1,1.5,Low
9806,351fd6ac-6808-06a0-f25b-70505c955431,2,30,30,1.0,2,1,1.5,Low
9807,3524bfe9-be15-88bf-d9bb-33bfab3cdb27,2,12,1,0.0833333333333333,2,1,1.5,Low
9808,3529023b-a9d0-d321-9730-7ba54a46c2ff,7,49,38,0.7755102040816326,3,3,3.0,High
9809,352957e7-7e1d-a6fc-7bf1-58371d382943,3,174,94,0.5402298850574713,4,1,2.5,Medium
9813,352cede1-dc64-4913-d8e1-15c099ebaf33,4,50,0,0.0,3,2,2.5,Medium
9821,353ad9c0-4065-0657-2fec-62ee5c876b3c,2,101,3,0.0297029702970297,4,1,2.5,Medium
9836,354ed06c-7e29-8565-97b2-f682cba8e669,2,18,1,0.0555555555555555,2,1,1.5,Low
9837,354f711c-3b92-2218-2aeb-db8b7b2fdc37,2,17,1,0.0588235294117647,2,1,1.5,Low
9850,35640b1e-b17d-a6f9-0acf-6610e285eac8,3,131,0,0.0,4,1,2.5,Medium
9859,35750b8c-e8e1-3a2d-e7ac-4e22c0e1369a,3,9,2,0.2222222222222222,2,1,1.5,Low
9866,357cef59-8bbc-8dfe-a5ab-55bf1afbc6f5,2,24,2,0.0833333333333333,2,1,1.5,Low
9867,357dfaff-c945-f5d4-93ce-1009171b74fc,9,93,37,0.3978494623655914,4,4,4.0,High
9872,35816def-4530-f465-ed51-1856a84991e1,3,31,8,0.2580645161290322,3,1,2.0,Medium
9874,3582b4ea-3989-448f-fe34-c30430155eb0,2,11,2,0.1818181818181818,2,1,1.5,Low
9877,3585c81a-8e12-277a-c402-cc3121917757,9,29,21,0.7241379310344828,2,4,3.0,High
9879,3586b7ce-83a9-f1a8-5e1f-e111d68e67d9,2,16,0,0.0,2,1,1.5,Low
9884,358abe49-79ef-3599-e56e-8a39bddfd450,2,35,1,0.0285714285714285,3,1,2.0,Medium
9886,358fe5a6-0d40-7fc6-e30d-75db75236195,4,10,8,0.8,2,2,2.0,Medium
9893,35985492-1209-da76-a6e8-89fb97160579,4,109,60,0.5504587155963303,4,2,3.0,High
9898,35a03275-1890-8526-c238-9cb2bcc62b28,3,7,1,0.1428571428571428,2,1,1.5,Low
9899,35a08ba4-887a-811c-f19c-857566266515,2,180,3,0.0166666666666666,4,1,2.5,Medium
9924,35bc9ec3-3923-fd7e-60f1-27dd4f44c168,3,5,4,0.8,1,1,1.0,Low
9930,35c160fc-a04d-2044-2011-6f1b9d314b20,2,11,0,0.0,2,1,1.5,Low
9935,35c48fc6-71a9-f56a-1649-3e99496673e3,7,10,6,0.6,2,3,2.5,Medium
9943,35cfaef7-d16d-8f3e-c88c-e45b57ed1f9e,3,45,18,0.4,3,1,2.0,Medium
9957,35dfbd86-fd89-25fc-4048-d276bda6ee33,2,9,3,0.3333333333333333,2,1,1.5,Low
9961,35e5b4f1-b0d8-9a2f-c08f-7d3b5a031e92,10,149,30,0.2013422818791946,4,4,4.0,High
9967,35f50341-d5e0-ea6b-a302-e72a82a299f4,3,37,0,0.0,3,1,2.0,Medium
9969,3602fc70-bafe-b6e6-b46e-4663c701b8c5,2,55,22,0.4,4,1,2.5,Medium
9972,3604808d-7274-0bee-d9e0-c0098c55e578,4,185,134,0.7243243243243244,4,2,3.0,High
9980,360eb436-9c3b-e196-9ff3-ba9987c7fb8b,2,82,5,0.0609756097560975,4,1,2.5,Medium
9984,3612587c-deb6-abe6-98bc-0a36e66e924e,2,6,0,0.0,2,1,1.5,Low
9995,3617c32e-e1f8-823a-095b-ba4da8f2ff3f,4,23,2,0.0869565217391304,2,2,2.0,Medium
9999,361aac2a-3ae2-258e-1f8f-bf03fca88d6c,3,58,26,0.4482758620689655,4,1,2.5,Medium
10004,361d69c4-6197-af2d-a4a5-ed4d6fb67530,2,162,81,0.5,4,1,2.5,Medium
10005,361fab35-db3c-e0f9-a0be-28076628b6ce,2,27,0,0.0,2,1,1.5,Low
10006,361ff92b-f2b7-0176-e766-6699f915251c,4,75,24,0.32,4,2,3.0,High
10009,3627fb0f-3525-dcd8-7c12-21864cc28184,5,53,2,0.0377358490566037,4,2,3.0,High
10016,36306f0d-b4ef-e4f3-65e6-9fa034eb812f,2,114,32,0.2807017543859649,4,1,2.5,Medium
10018,3631cfa0-afda-3e9d-8c9a-31ee4b970aba,3,21,14,0.6666666666666666,2,1,1.5,Low
10027,363b1df5-0a71-a3dc-8f41-751405b06ea5,2,45,3,0.0666666666666666,3,1,2.0,Medium
10030,36403be1-c97c-b9d4-3268-34b2749cf8bb,2,14,0,0.0,2,1,1.5,Low
10041,364a3ff1-609d-6c80-1768-30fb41f6e6bd,2,5,0,0.0,1,1,1.0,Low
10054,36636331-50d1-778f-b3b7-9d9478366670,2,78,3,0.0384615384615384,4,1,2.5,Medium
10061,366862aa-f172-cc30-0065-69428fb42c2e,2,53,12,0.2264150943396226,4,1,2.5,Medium
10066,36775534-d5ac-1969-a70c-a383803f4ddd,2,116,58,0.5,4,1,2.5,Medium
10067,3678ef44-79f6-9b9b-c244-811f2141a702,2,29,8,0.2758620689655172,2,1,1.5,Low
10071,3685019d-f074-478d-ce58-f4b8d2a40f63,4,43,8,0.1860465116279069,3,2,2.5,Medium
10074,368a424e-c04f-11d2-5735-b1958f1975ae,2,158,88,0.5569620253164557,4,1,2.5,Medium
10075,368c4491-cf06-5be8-6e27-0bc58a37c59f,2,100,49,0.49,4,1,2.5,Medium
10077,368d6c6c-b20d-ba43-8b62-b78d2296d2da,2,6,3,0.5,2,1,1.5,Low
10079,368dfd6e-6061-3177-f97f-e1e867f726c9,2,24,12,0.5,2,1,1.5,Low
10080,368e1bd4-1e57-b432-ea4b-2013be636764,3,40,0,0.0,3,1,2.0,Medium
10083,36933c7d-6f6d-506d-4b28-df5336519629,3,142,81,0.5704225352112676,4,1,2.5,Medium
10094,36a278da-b56b-9333-7789-a30e3184e350,3,19,0,0.0,2,1,1.5,Low
10103,36adaadd-16a8-d61d-7588-5017b4e561f8,2,54,0,0.0,4,1,2.5,Medium
10104,36af8be5-55fb-b2c0-4562-531089552c2c,3,46,8,0.1739130434782608,3,1,2.0,Medium
10106,36b2c19d-316b-d07c-3557-9f7a12bf8fa6,2,12,4,0.3333333333333333,2,1,1.5,Low
10107,36b38c43-a792-195f-5a7a-06d55bbad6c8,2,200,65,0.325,4,1,2.5,Medium
10115,36bdc2e7-6537-edb2-ab84-685780e79dfd,2,7,1,0.1428571428571428,2,1,1.5,Low
10117,36bf46fc-c651-6b73-95a0-72d2d256ea3d,2,14,7,0.5,2,1,1.5,Low
10126,36c5878b-e298-6f89-615b-2e98548e5d1d,4,22,0,0.0,2,2,2.0,Medium
10128,36ca81cf-c8af-f6a8-2a31-30e173aaa9b0,2,6,3,0.5,2,1,1.5,Low
10133,36d8169a-19b6-f139-6ba4-7ea6b8693618,2,33,8,0.2424242424242424,3,1,2.0,Medium
10134,36d9fc3d-cf9f-ed5c-1877-7a15317ae995,3,30,7,0.2333333333333333,2,1,1.5,Low
10158,36f213dd-8f5b-eb29-5d5d-17bbb95cdc67,4,48,6,0.125,3,2,2.5,Medium
10167,36f736aa-21ce-e792-7bc0-b0d6b7dc4d8c,3,168,3,0.0178571428571428,4,1,2.5,Medium
10174,3700bf2e-e92b-28bd-ff85-63f59ead3cd0,7,21,18,0.8571428571428571,2,3,2.5,Medium
10185,3712e59a-eebb-a19e-8b8f-a97ab575e84e,2,5,0,0.0,1,1,1.0,Low
10189,371b157b-4a33-1e36-e9cf-9058be6186e5,2,12,3,0.25,2,1,1.5,Low
10193,372130d5-ee5f-9047-c651-832931c4d415,10,17,8,0.4705882352941176,2,4,3.0,High
10203,3732e7e5-83d6-da3f-266c-8eed8875c684,2,141,1,0.0070921985815602,4,1,2.5,Medium
10204,373510d3-db56-579b-9e89-4ece59f2daa9,4,51,32,0.6274509803921569,4,2,3.0,High
10211,373894be-d66e-5e01-e365-1686dcc8e856,2,118,4,0.0338983050847457,4,1,2.5,Medium
10213,373a2ce8-dfca-b92f-1cf9-7383c769b6e1,2,63,0,0.0,4,1,2.5,Medium
10215,373a5651-9f36-c10d-2780-b26a2b765a2b,6,10,4,0.4,2,3,2.5,Medium
10223,37416286-df3c-d643-f78f-576d2337ef9e,3,49,13,0.2653061224489796,3,1,2.0,Medium
10234,37535769-fe5a-04dd-3b6e-f19043a0cc62,2,17,0,0.0,2,1,1.5,Low
10236,375619bc-d478-9236-6c5d-fc8d3801608d,2,75,20,0.2666666666666666,4,1,2.5,Medium
10243,375cdb08-44dd-9245-1561-c10fabfbd02f,2,149,51,0.3422818791946309,4,1,2.5,Medium
10247,375f6013-d3a5-364a-aeb8-02ae9ad9c8d7,2,18,8,0.4444444444444444,2,1,1.5,Low
10251,37633a08-c140-6a1a-2632-e5fdaa187a65,8,122,50,0.4098360655737705,4,4,4.0,High
10252,3764e025-b29c-1270-74b9-5e89ca754d1b,2,50,0,0.0,3,1,2.0,Medium
10256,37699e8f-6bb7-b22b-e2ac-f3857bc85687,2,12,0,0.0,2,1,1.5,Low
10261,37724eca-c12a-4a4d-f7b8-88283e311d54,2,32,0,0.0,3,1,2.0,Medium
10272,37828dfc-5e36-77c8-344d-0944ce6f311f,8,10,5,0.5,2,4,3.0,High
10273,378696ae-74a5-b2b0-f22d-daf7d6ec6ba5,3,12,5,0.4166666666666667,2,1,1.5,Low
10276,378868ad-6530-c942-deaa-1c6ec0afda34,3,45,14,0.3111111111111111,3,1,2.0,Medium
10279,37909911-dcbb-2f2e-2d5f-7cdd35a9270f,2,8,4,0.5,2,1,1.5,Low
10281,37910a74-59b1-6a2b-3f43-b878ecb48d1c,2,26,0,0.0,2,1,1.5,Low
10285,37a33c71-d222-5188-58b5-211a7e060c2e,2,73,1,0.0136986301369863,4,1,2.5,Medium
10294,37aff17b-c30e-9a7e-483c-29b70dea7e51,3,25,0,0.0,2,1,1.5,Low
10301,37bb4d0a-0285-3ce1-3ff1-266d949cd7ae,4,102,0,0.0,4,2,3.0,High
10304,37bf8b0c-d67d-cb0b-db53-2f59834efbab,8,9,8,0.8888888888888888,2,4,3.0,High
10310,37c7150e-7ca5-2914-1c43-939cbda24a87,2,16,3,0.1875,2,1,1.5,Low
10311,37c9cdbb-4cc5-7736-fe6e-41c70bc4dca5,2,26,0,0.0,2,1,1.5,Low
10313,37ce3763-b57d-be06-698d-6d46c4fba461,2,161,19,0.1180124223602484,4,1,2.5,Medium
10316,37cfb8e3-c56c-4ceb-e0c9-0855a673c09b,2,41,2,0.048780487804878,3,1,2.0,Medium
10346,37fd548f-4547-7372-9be1-7d0ea7cc7fcc,2,16,0,0.0,2,1,1.5,Low
10354,3805a82e-7944-c650-088e-9d60b4500053,2,8,0,0.0,2,1,1.5,Low
10357,3807416a-2021-1b0b-6fa7-19df1b0b37db,3,26,0,0.0,2,1,1.5,Low
10359,380b1795-7048-ec8a-0bae-1afa1ad0bdf3,2,41,32,0.7804878048780488,3,1,2.0,Medium
10371,38252632-5939-ecae-0794-e65ad59ac9ce,3,161,26,0.1614906832298136,4,1,2.5,Medium
10373,3826f145-5222-80c7-7164-fd81c331adbd,5,26,0,0.0,2,2,2.0,Medium
10376,382f23ee-b1d2-edaf-8f62-fd21d06bb202,2,11,0,0.0,2,1,1.5,Low
10381,383b7f2c-7d1d-cfb8-b006-2cfa9da11bf4,2,6,3,0.5,2,1,1.5,Low
10384,3840e392-e1be-525f-30a6-0039060e50c8,2,151,54,0.3576158940397351,4,1,2.5,Medium
10385,3841a394-e96c-5b2f-c0e4-19224da7b05b,2,35,0,0.0,3,1,2.0,Medium
10388,384448d9-eaf7-d03c-4950-2e7fa6ed6663,8,35,16,0.4571428571428571,3,4,3.5,High
10398,385bd875-f1ce-cdbb-09aa-e4092e6f24e8,6,24,16,0.6666666666666666,2,3,2.5,Medium
10400,385db39d-558c-1b3f-d9f8-9491a781d060,4,52,25,0.4807692307692308,4,2,3.0,High
10401,386008a9-defd-7cf3-80e6-c2fa5272a9a6,2,108,29,0.2685185185185185,4,1,2.5,Medium
10406,38658848-acdf-a55f-28c6-9b18d761d69a,2,13,1,0.0769230769230769,2,1,1.5,Low
10409,386b7934-4839-fdc4-c309-cd65ab87612c,4,10,7,0.7,2,2,2.0,Medium
10428,38831ab8-50aa-baa2-b959-1f2f3b8d966a,2,64,32,0.5,4,1,2.5,Medium
10448,38a2e02c-8282-f5c9-82e6-5b7c7d3eac58,4,49,22,0.4489795918367347,3,2,2.5,Medium
10449,38a6be56-375c-df92-5040-6c488ad6bc39,3,75,33,0.44,4,1,2.5,Medium
10465,38bc6e10-c254-6528-a073-3b7cae8363e8,2,6,0,0.0,2,1,1.5,Low
10468,38c08b78-5b34-b0a1-b42e-7ca6571d6234,2,174,17,0.0977011494252873,4,1,2.5,Medium
10470,38c257a2-0316-706b-51d0-47dd06b39c00,2,108,47,0.4351851851851852,4,1,2.5,Medium
10471,38ca1494-6562-3249-5cd5-26bdd7afe16d,2,59,49,0.8305084745762712,4,1,2.5,Medium
10477,38cdf59b-9587-f0c8-4188-44092b49783d,2,70,43,0.6142857142857143,4,1,2.5,Medium
10478,38d17900-1ff1-b570-782f-592d8e2f1a15,2,17,0,0.0,2,1,1.5,Low
10480,38d3f724-b2ae-b5a6-06c3-1d5a683c506d,3,73,0,0.0,4,1,2.5,Medium
10482,38d5ec3c-8969-fc0e-be2c-90f45e39a936,9,114,72,0.631578947368421,4,4,4.0,High
10485,38d73175-da65-80e1-9d48-fca5b1a11baa,8,109,68,0.6238532110091743,4,4,4.0,High
10493,38de347d-b86d-6061-fa33-30363d612091,2,11,0,0.0,2,1,1.5,Low
10494,38dee6fc-d4f8-cc47-5235-130314a83e59,3,66,43,0.6515151515151515,4,1,2.5,Medium
10499,38e72979-79d1-26f9-a25d-7d1a45f14d6f,2,19,0,0.0,2,1,1.5,Low
10510,38f21f2b-40fd-864f-cbe8-6ec4ae712db3,2,21,9,0.4285714285714285,2,1,1.5,Low
10512,38f3e5ce-d65e-243c-7e1e-c25d046a3e6e,3,41,11,0.2682926829268293,3,1,2.0,Medium
10518,38ff9bd7-131f-aee5-ee68-fd7a414150bd,3,34,19,0.5588235294117647,3,1,2.0,Medium
10523,3902bf18-fa03-44d5-21e9-5f446ce2dc0b,2,6,1,0.1666666666666666,2,1,1.5,Low
10525,39049715-7c70-8c07-fef3-683de6b7ad98,2,37,11,0.2972972972972973,3,1,2.0,Medium
10526,39058075-a92b-65b1-7e1f-bf1f6a2288e1,2,22,11,0.5,2,1,1.5,Low
10535,390e819c-31c4-89d9-08fd-2a5522167292,3,188,4,0.0212765957446808,4,1,2.5,Medium
10537,391037f3-4715-0ab1-2532-56f5b3e9a91d,5,158,43,0.2721518987341772,4,2,3.0,High
10538,39104401-3435-329f-bb67-4ffca754cbeb,2,12,2,0.1666666666666666,2,1,1.5,Low
10546,3918b205-e698-21c2-fd8f-04d65f075b72,3,5,0,0.0,1,1,1.0,Low
10560,392f1f1c-3e0f-af7e-51f1-d5c8aa1ebc57,4,73,6,0.0821917808219178,4,2,3.0,High
10571,39493cef-e15b-479f-e3b1-e3ef8f099c79,3,53,28,0.5283018867924528,4,1,2.5,Medium
10581,395066f3-65bd-48de-cfc1-f0bcf98efce1,2,32,7,0.21875,3,1,2.0,Medium
10583,3952a6c3-c919-4e7e-1661-3f4bd82ade6a,2,39,14,0.358974358974359,3,1,2.0,Medium
10589,39572c82-c4ec-8883-eaa3-c3bba45aed5a,2,142,42,0.2957746478873239,4,1,2.5,Medium
10590,3958f8fc-7b53-5341-3252-58ba12e2be73,2,62,0,0.0,4,1,2.5,Medium
10592,395d8360-2192-5a06-df33-1f5fcdf11f21,6,126,62,0.492063492063492,4,3,3.5,High
10595,395f54ab-f801-f47e-dd0a-a2d72ced1a36,9,30,12,0.4,2,4,3.0,High
10598,39658d79-19a2-6cf3-4b16-2134086f0fa4,7,41,24,0.5853658536585366,3,3,3.0,High
10601,396a7da0-99ce-ea94-bcaa-9d06d8bb743f,2,6,1,0.1666666666666666,2,1,1.5,Low
10603,39715f3c-1534-2eff-a155-cc7cfa87c342,2,47,0,0.0,3,1,2.0,Medium
10605,397229a6-69ec-0e3c-558b-115bcb6c53b5,3,23,0,0.0,2,1,1.5,Low
10609,3980fa09-b337-b598-eaa0-75492e721010,2,40,2,0.05,3,1,2.0,Medium
10610,3985aa2c-3240-9c72-4389-e137d6dde2a7,4,118,16,0.135593220338983,4,2,3.0,High
10611,3986917d-1237-ec7e-95e2-b0792fb1a44f,5,42,2,0.0476190476190476,3,2,2.5,Medium
10615,398c56d9-bf1c-794f-083b-16a0c3c2d807,3,7,3,0.4285714285714285,2,1,1.5,Low
10618,3992d28f-8115-dc36-a1b6-c42cf0f56c7c,9,9,7,0.7777777777777778,2,4,3.0,High
10619,399404c2-8b4e-7d4a-e51a-9117f85e7100,3,15,9,0.6,2,1,1.5,Low
10622,3997cef3-3af5-9c15-acb5-d92b261dc213,2,21,0,0.0,2,1,1.5,Low
10626,399bc6fd-925b-566e-7f71-03349a14c51e,2,192,172,0.8958333333333334,4,1,2.5,Medium
10634,39a4c848-d8f9-1d12-3ddf-60ea1858d3b2,10,30,8,0.2666666666666666,2,4,3.0,High
10637,39a74be1-0bb5-4559-cb3d-ad13f7af0ca0,3,61,26,0.4262295081967213,4,1,2.5,Medium
10643,39ac60dc-d403-8279-c834-d4b2fd58a721,3,111,38,0.3423423423423423,4,1,2.5,Medium
10654,39ba7f0e-3574-f08c-d897-4d3e7616ecda,2,5,2,0.4,1,1,1.0,Low
10660,39c1045b-34ce-7850-9380-ef31164f4cff,2,8,4,0.5,2,1,1.5,Low
10672,39da2abf-8b18-346d-e568-8f3a141357bf,5,120,0,0.0,4,2,3.0,High
10673,39daf048-ae2d-a490-0263-3eabd1cd8928,2,10,3,0.3,2,1,1.5,Low
